Epoch: 01 | Time: 4m 44s
	Train Loss: 3.167 | Train PPL:  23.727
	 Val. Loss: 4.568 |  Val. PPL:  96.385
Epoch: 02 | Time: 4m 40s
	Train Loss: 2.354 | Train PPL:  10.526
	 Val. Loss: 4.759 |  Val. PPL: 116.615
Epoch: 03 | Time: 4m 40s
	Train Loss: 2.177 | Train PPL:   8.824
	 Val. Loss: 5.133 |  Val. PPL: 169.458
Epoch: 04 | Time: 4m 39s
	Train Loss: 2.064 | Train PPL:   7.876
	 Val. Loss: 5.429 |  Val. PPL: 227.939
Epoch: 05 | Time: 4m 39s
	Train Loss: 1.994 | Train PPL:   7.344
	 Val. Loss: 5.280 |  Val. PPL: 196.324
Epoch: 06 | Time: 4m 41s
	Train Loss: 1.933 | Train PPL:   6.908
	 Val. Loss: 5.298 |  Val. PPL: 199.949
Epoch: 07 | Time: 4m 39s
	Train Loss: 1.895 | Train PPL:   6.651
	 Val. Loss: 5.445 |  Val. PPL: 231.525
Epoch: 08 | Time: 4m 39s
	Train Loss: 1.845 | Train PPL:   6.326
	 Val. Loss: 5.453 |  Val. PPL: 233.524
Epoch: 09 | Time: 4m 40s
	Train Loss: 1.845 | Train PPL:   6.331
	 Val. Loss: 5.536 |  Val. PPL: 253.591
Epoch: 10 | Time: 4m 42s
	Train Loss: 1.799 | Train PPL:   6.045
	 Val. Loss: 5.414 |  Val. PPL: 224.432
Epoch: 11 | Time: 4m 40s
	Train Loss: 1.790 | Train PPL:   5.989
	 Val. Loss: 5.302 |  Val. PPL: 200.647
Epoch: 12 | Time: 4m 41s
	Train Loss: 1.753 | Train PPL:   5.770
	 Val. Loss: 5.340 |  Val. PPL: 208.412
Epoch: 13 | Time: 4m 40s
	Train Loss: 1.720 | Train PPL:   5.586
	 Val. Loss: 5.053 |  Val. PPL: 156.425
Epoch: 14 | Time: 4m 39s
	Train Loss: 1.635 | Train PPL:   5.128
	 Val. Loss: 5.161 |  Val. PPL: 174.324
Epoch: 15 | Time: 4m 40s
	Train Loss: 1.467 | Train PPL:   4.337
	 Val. Loss: 5.231 |  Val. PPL: 186.942
Epoch: 16 | Time: 4m 41s
	Train Loss: 1.257 | Train PPL:   3.517
	 Val. Loss: 5.179 |  Val. PPL: 177.451
Epoch: 17 | Time: 4m 42s
	Train Loss: 1.036 | Train PPL:   2.818
	 Val. Loss: 5.442 |  Val. PPL: 230.929
Epoch: 18 | Time: 4m 39s
	Train Loss: 0.883 | Train PPL:   2.419
	 Val. Loss: 4.710 |  Val. PPL: 111.068
Epoch: 19 | Time: 4m 41s
	Train Loss: 0.759 | Train PPL:   2.136
	 Val. Loss: 4.484 |  Val. PPL:  88.547
Epoch: 20 | Time: 4m 40s
	Train Loss: 0.672 | Train PPL:   1.959
	 Val. Loss: 5.172 |  Val. PPL: 176.206
Epoch: 21 | Time: 4m 41s
	Train Loss: 0.624 | Train PPL:   1.867
	 Val. Loss: 4.570 |  Val. PPL:  96.569
Epoch: 22 | Time: 4m 41s
	Train Loss: 0.562 | Train PPL:   1.755
	 Val. Loss: 4.420 |  Val. PPL:  83.081
Epoch: 23 | Time: 4m 41s
	Train Loss: 0.530 | Train PPL:   1.700
	 Val. Loss: 4.412 |  Val. PPL:  82.459
Epoch: 24 | Time: 4m 44s
	Train Loss: 0.501 | Train PPL:   1.651
	 Val. Loss: 4.748 |  Val. PPL: 115.322
Epoch: 25 | Time: 4m 42s
	Train Loss: 0.488 | Train PPL:   1.628
	 Val. Loss: 4.644 |  Val. PPL: 103.922
Epoch: 26 | Time: 4m 42s
	Train Loss: 0.466 | Train PPL:   1.594
	 Val. Loss: 4.635 |  Val. PPL: 103.064
Epoch: 27 | Time: 4m 39s
	Train Loss: 0.441 | Train PPL:   1.554
	 Val. Loss: 4.691 |  Val. PPL: 109.003
Epoch: 28 | Time: 4m 42s
	Train Loss: 0.427 | Train PPL:   1.533
	 Val. Loss: 4.601 |  Val. PPL:  99.545
Epoch: 29 | Time: 4m 41s
	Train Loss: 0.402 | Train PPL:   1.495
	 Val. Loss: 4.274 |  Val. PPL:  71.800
Epoch: 30 | Time: 4m 40s
	Train Loss: 0.390 | Train PPL:   1.478
	 Val. Loss: 4.533 |  Val. PPL:  92.996
Epoch: 31 | Time: 4m 42s
	Train Loss: 0.387 | Train PPL:   1.473
	 Val. Loss: 4.473 |  Val. PPL:  87.583
Epoch: 32 | Time: 4m 39s
	Train Loss: 0.382 | Train PPL:   1.466
	 Val. Loss: 4.584 |  Val. PPL:  97.954
Epoch: 33 | Time: 4m 40s
	Train Loss: 0.372 | Train PPL:   1.451
	 Val. Loss: 4.360 |  Val. PPL:  78.244
Epoch: 34 | Time: 4m 39s
	Train Loss: 0.363 | Train PPL:   1.438
	 Val. Loss: 4.290 |  Val. PPL:  72.953
Epoch: 35 | Time: 4m 40s
	Train Loss: 0.352 | Train PPL:   1.421
	 Val. Loss: 4.391 |  Val. PPL:  80.758
Epoch: 36 | Time: 4m 41s
	Train Loss: 0.348 | Train PPL:   1.416
	 Val. Loss: 4.198 |  Val. PPL:  66.553
Epoch: 37 | Time: 4m 41s
	Train Loss: 0.334 | Train PPL:   1.396
	 Val. Loss: 4.254 |  Val. PPL:  70.363
Epoch: 38 | Time: 4m 41s
	Train Loss: 0.329 | Train PPL:   1.389
	 Val. Loss: 4.411 |  Val. PPL:  82.331
Epoch: 39 | Time: 4m 39s
	Train Loss: 0.322 | Train PPL:   1.380
	 Val. Loss: 4.307 |  Val. PPL:  74.183
Epoch: 40 | Time: 4m 42s
	Train Loss: 0.310 | Train PPL:   1.364
	 Val. Loss: 4.634 |  Val. PPL: 102.889
Epoch: 41 | Time: 4m 42s
	Train Loss: 0.306 | Train PPL:   1.358
	 Val. Loss: 4.620 |  Val. PPL: 101.445
Epoch: 42 | Time: 4m 41s
	Train Loss: 0.305 | Train PPL:   1.357
	 Val. Loss: 4.787 |  Val. PPL: 119.969
Epoch: 43 | Time: 4m 41s
	Train Loss: 0.302 | Train PPL:   1.352
	 Val. Loss: 4.765 |  Val. PPL: 117.378
Epoch: 44 | Time: 4m 42s
	Train Loss: 0.298 | Train PPL:   1.347
	 Val. Loss: 4.674 |  Val. PPL: 107.153
Epoch: 45 | Time: 4m 40s
	Train Loss: 0.292 | Train PPL:   1.340
	 Val. Loss: 4.378 |  Val. PPL:  79.682
Epoch: 46 | Time: 4m 42s
	Train Loss: 0.284 | Train PPL:   1.328
	 Val. Loss: 4.554 |  Val. PPL:  94.986
Epoch: 47 | Time: 4m 43s
	Train Loss: 0.275 | Train PPL:   1.317
	 Val. Loss: 4.894 |  Val. PPL: 133.519
