Epoch: 01 | Time: 7m 10s
	Train Loss: 3.897 | Train PPL:  49.257
	 Val. Loss: 3.655 |  Val. PPL:  38.669
Epoch: 02 | Time: 6m 28s
	Train Loss: 3.693 | Train PPL:  40.161
	 Val. Loss: 3.611 |  Val. PPL:  37.004
Epoch: 03 | Time: 6m 18s
	Train Loss: 3.672 | Train PPL:  39.330
	 Val. Loss: 3.587 |  Val. PPL:  36.137
Epoch: 04 | Time: 6m 46s
	Train Loss: 3.334 | Train PPL:  28.044
	 Val. Loss: 3.904 |  Val. PPL:  49.619
Epoch: 05 | Time: 6m 28s
	Train Loss: 2.706 | Train PPL:  14.968
	 Val. Loss: 3.991 |  Val. PPL:  54.093
Epoch: 06 | Time: 6m 33s
	Train Loss: 2.498 | Train PPL:  12.163
	 Val. Loss: 4.113 |  Val. PPL:  61.117
Epoch: 07 | Time: 6m 45s
	Train Loss: 2.371 | Train PPL:  10.709
	 Val. Loss: 4.186 |  Val. PPL:  65.787
Epoch: 08 | Time: 6m 39s
	Train Loss: 2.296 | Train PPL:   9.936
	 Val. Loss: 4.267 |  Val. PPL:  71.275
Epoch: 09 | Time: 7m 5s
	Train Loss: 2.239 | Train PPL:   9.388
	 Val. Loss: 4.356 |  Val. PPL:  77.967
Epoch: 10 | Time: 6m 49s
	Train Loss: 2.186 | Train PPL:   8.902
	 Val. Loss: 4.483 |  Val. PPL:  88.499
Epoch: 11 | Time: 6m 57s
	Train Loss: 2.144 | Train PPL:   8.535
	 Val. Loss: 4.445 |  Val. PPL:  85.180
Epoch: 12 | Time: 6m 29s
	Train Loss: 2.131 | Train PPL:   8.422
	 Val. Loss: 4.635 |  Val. PPL: 103.067
Epoch: 13 | Time: 6m 17s
	Train Loss: 2.091 | Train PPL:   8.090
	 Val. Loss: 4.454 |  Val. PPL:  85.970
Epoch: 14 | Time: 6m 22s
	Train Loss: 2.069 | Train PPL:   7.918
	 Val. Loss: 4.281 |  Val. PPL:  72.307
Epoch: 15 | Time: 6m 21s
	Train Loss: 2.036 | Train PPL:   7.659
	 Val. Loss: 4.525 |  Val. PPL:  92.330
Epoch: 16 | Time: 6m 19s
	Train Loss: 2.014 | Train PPL:   7.494
	 Val. Loss: 4.545 |  Val. PPL:  94.164
Epoch: 17 | Time: 6m 15s
	Train Loss: 1.997 | Train PPL:   7.365
	 Val. Loss: 4.560 |  Val. PPL:  95.579
Epoch: 18 | Time: 6m 33s
	Train Loss: 1.988 | Train PPL:   7.301
	 Val. Loss: 4.456 |  Val. PPL:  86.134
Epoch: 19 | Time: 6m 41s
	Train Loss: 1.970 | Train PPL:   7.168
	 Val. Loss: 4.565 |  Val. PPL:  96.098
Epoch: 20 | Time: 6m 48s
	Train Loss: 1.944 | Train PPL:   6.989
	 Val. Loss: 4.875 |  Val. PPL: 130.923
Epoch: 21 | Time: 6m 37s
	Train Loss: 1.921 | Train PPL:   6.831
	 Val. Loss: 4.866 |  Val. PPL: 129.750
Epoch: 22 | Time: 6m 52s
	Train Loss: 1.917 | Train PPL:   6.801
	 Val. Loss: 4.567 |  Val. PPL:  96.230
Epoch: 23 | Time: 6m 55s
	Train Loss: 1.910 | Train PPL:   6.752
	 Val. Loss: 4.493 |  Val. PPL:  89.345
Epoch: 24 | Time: 6m 32s
	Train Loss: 1.887 | Train PPL:   6.602
	 Val. Loss: 5.089 |  Val. PPL: 162.248
Epoch: 25 | Time: 6m 26s
	Train Loss: 1.881 | Train PPL:   6.560
	 Val. Loss: 5.183 |  Val. PPL: 178.221
Epoch: 26 | Time: 6m 26s
	Train Loss: 1.871 | Train PPL:   6.496
	 Val. Loss: 4.528 |  Val. PPL:  92.551
Epoch: 27 | Time: 6m 36s
	Train Loss: 1.864 | Train PPL:   6.448
	 Val. Loss: 5.192 |  Val. PPL: 179.872
Epoch: 28 | Time: 6m 21s
	Train Loss: 1.864 | Train PPL:   6.450
	 Val. Loss: 4.493 |  Val. PPL:  89.372
Epoch: 29 | Time: 6m 33s
	Train Loss: 1.846 | Train PPL:   6.334
	 Val. Loss: 4.462 |  Val. PPL:  86.639
Epoch: 30 | Time: 6m 39s
	Train Loss: 1.847 | Train PPL:   6.344
	 Val. Loss: 4.458 |  Val. PPL:  86.311
Epoch: 31 | Time: 6m 17s
	Train Loss: 1.846 | Train PPL:   6.336
	 Val. Loss: 5.517 |  Val. PPL: 248.797
Epoch: 32 | Time: 6m 16s
	Train Loss: 1.825 | Train PPL:   6.205
	 Val. Loss: 5.601 |  Val. PPL: 270.712
Epoch: 33 | Time: 6m 16s
	Train Loss: 1.830 | Train PPL:   6.235
	 Val. Loss: 4.420 |  Val. PPL:  83.099
Epoch: 34 | Time: 6m 18s
	Train Loss: 1.834 | Train PPL:   6.256
	 Val. Loss: 4.811 |  Val. PPL: 122.843
Epoch: 35 | Time: 6m 20s
	Train Loss: 1.831 | Train PPL:   6.241
	 Val. Loss: 4.691 |  Val. PPL: 108.911
Epoch: 36 | Time: 6m 20s
	Train Loss: 1.812 | Train PPL:   6.124
	 Val. Loss: 4.443 |  Val. PPL:  85.029
Epoch: 37 | Time: 6m 41s
	Train Loss: 1.809 | Train PPL:   6.104
	 Val. Loss: 5.259 |  Val. PPL: 192.245
Epoch: 38 | Time: 6m 23s
	Train Loss: 1.805 | Train PPL:   6.081
